,EV6,EV5,EV4,EV3,EV2,EV1,time,feeder_load
167,0.0,0.0,0.0,0.0,0.0,200.0,13.916666666666666,3738108.081030199
168,0.0,0.0,0.0,0.0,0.0,200.0,14.0,3714862.7897495274
169,0.0,0.0,0.0,0.0,0.0,200.0,14.083333333333334,3846408.6572195394
170,0.0,0.0,0.0,0.0,0.0,200.0,14.166666666666666,3787285.1811437355
171,0.0,0.0,0.0,0.0,0.0,200.0,14.25,3807070.324517249
172,0.0,0.0,0.0,0.0,0.0,200.0,14.333333333333334,3783129.8270470947
173,0.0,0.0,0.0,0.0,0.0,200.0,14.416666666666666,3896838.754302883
174,0.0,0.0,0.0,0.0,0.0,200.0,14.5,3843235.0649861563
175,0.0,0.0,0.0,0.0,0.0,200.0,14.583333333333334,3794920.076284111
176,0.0,0.0,0.0,0.0,0.0,200.0,14.666666666666666,3868678.3462635726
177,0.0,0.0,0.0,0.0,0.0,200.0,14.75,3868902.3996296376
178,0.0,0.0,0.0,0.0,0.0,200.0,14.833333333333334,3916706.9740864728
179,0.0,0.0,0.0,0.0,0.0,200.0,14.916666666666666,3890887.7468401217
180,0.0,0.0,0.0,0.0,0.0,200.0,15.0,3903368.4667791305
181,0.0,0.0,0.0,0.0,0.0,200.0,15.083333333333334,3755265.2814962612
182,0.0,0.0,0.0,0.0,0.0,200.0,15.166666666666666,3636644.7863503336
183,0.0,0.0,0.0,0.0,0.0,200.0,15.25,3712592.5134876976
184,0.0,0.0,0.0,0.0,0.0,200.0,15.333333333333334,3703929.679369298
185,0.0,0.0,0.0,0.0,0.0,200.0,15.416666666666666,3777617.3500124197
186,0.0,0.0,0.0,0.0,0.0,200.0,15.5,3800493.8241951345
187,0.0,0.0,0.0,0.0,0.0,200.0,15.583333333333334,3561899.0225668554
188,0.0,0.0,0.0,0.0,0.0,200.0,15.666666666666666,3818683.5867017545
189,0.0,0.0,0.0,0.0,0.0,200.0,15.75,3756700.4188391212
190,0.0,0.0,0.0,0.0,0.0,200.0,15.833333333333334,3730297.9724804116
191,0.0,0.0,0.0,0.0,0.0,200.0,15.916666666666666,3692979.9146705815
192,0.0,0.0,0.0,0.0,0.0,200.0,16.0,3757733.8375963215
193,0.0,0.0,0.0,0.0,0.0,200.0,16.083333333333332,3833273.5134441904
194,0.0,0.0,0.0,0.0,0.0,200.0,16.166666666666668,3659469.8658747156
195,0.0,0.0,0.0,0.0,0.0,200.0,16.25,3782729.4705585465
196,0.0,0.0,0.0,0.0,0.0,200.0,16.333333333333332,3819981.2193816165
197,0.0,0.0,0.0,0.0,0.0,200.0,16.416666666666668,3572666.353896488
198,0.0,0.0,0.0,0.0,0.0,200.0,16.5,3835945.6804874474
199,0.0,0.0,0.0,0.0,0.0,200.0,16.583333333333332,3759299.5128171598
200,0.0,0.0,0.0,0.0,0.0,200.0,16.666666666666668,3725704.718221581
201,0.0,0.0,0.0,0.0,0.0,200.0,16.75,3636919.3660763972
202,0.0,0.0,0.0,0.0,0.0,200.0,16.833333333333332,3660516.4928522087
203,0.0,0.0,0.0,0.0,0.0,200.0,16.916666666666668,3679986.036677842
204,0.0,0.0,0.0,0.0,0.0,200.0,17.0,3533519.369979009
205,0.0,0.0,0.0,0.0,0.0,200.0,17.083333333333332,3588078.9776084237
206,0.0,0.0,0.0,0.0,0.0,200.0,17.166666666666668,3514559.554522003
207,0.0,0.0,0.0,0.0,0.0,200.0,17.25,3613154.6351405014
208,0.0,0.0,0.0,0.0,0.0,200.0,17.333333333333332,3417097.4940152494
209,0.0,0.0,0.0,0.0,0.0,200.0,17.416666666666668,3576491.3392672385
210,0.0,0.0,0.0,0.0,0.0,200.0,17.5,3361382.234780428
211,0.0,0.0,0.0,0.0,0.0,200.0,17.583333333333332,3523442.436699803
212,0.0,0.0,0.0,0.0,0.0,200.0,17.666666666666668,3337684.6807356724
213,0.0,0.0,0.0,0.0,0.0,200.0,17.75,3321474.406724022
214,0.0,0.0,0.0,0.0,0.0,200.0,17.833333333333332,3407737.05306736
215,0.0,0.0,0.0,0.0,0.0,200.0,17.916666666666668,3270295.852999432
216,0.0,0.0,0.0,0.0,0.0,200.0,18.0,3333024.129687437
217,0.0,0.0,0.0,0.0,0.0,200.0,18.083333333333332,3466296.480562727
218,0.0,0.0,0.0,0.0,0.0,200.0,18.166666666666668,3230498.653414488
219,0.0,0.0,0.0,0.0,0.0,200.0,18.25,3181290.9317011205
220,0.0,0.0,0.0,0.0,0.0,200.0,18.333333333333332,3196062.042498948
221,0.0,0.0,0.0,0.0,0.0,200.0,18.416666666666668,3107423.4531896263
222,0.0,0.0,0.0,0.0,0.0,200.0,18.5,3090697.942491205
223,0.0,0.0,0.0,0.0,0.0,200.0,18.583333333333332,3151166.440249343
224,0.0,0.0,0.0,0.0,0.0,200.0,18.666666666666668,3060857.8029834786
225,0.0,0.0,0.0,0.0,0.0,200.0,18.75,2839693.1239571543
226,0.0,0.0,0.0,0.0,0.0,200.0,18.833333333333332,2886911.390285437
227,0.0,0.0,0.0,0.0,0.0,200.0,18.916666666666668,2847759.3099458553
228,0.0,0.0,0.0,0.0,0.0,200.0,19.0,2796145.017005759
229,0.0,0.0,0.0,0.0,0.0,200.0,19.083333333333332,2736369.9626392396
230,0.0,0.0,0.0,0.0,0.0,200.0,19.166666666666668,2524845.99055251
231,0.0,0.0,0.0,0.0,200.0,200.0,19.25,2803902.0005926415
232,0.0,0.0,0.0,0.0,200.0,200.0,19.333333333333332,2902070.422070668
233,0.0,0.0,0.0,0.0,200.0,200.0,19.416666666666668,2808031.358745504
234,0.0,0.0,0.0,0.0,200.0,200.0,19.5,2793529.3628542474
235,0.0,0.0,0.0,0.0,200.0,200.0,19.583333333333332,2794596.770373696
236,0.0,0.0,0.0,0.0,200.0,200.0,19.666666666666668,2867712.8931194907
237,0.0,0.0,0.0,0.0,200.0,200.0,19.75,2716724.961233206
238,0.0,0.0,0.0,0.0,200.0,200.0,19.833333333333332,2722571.200756139
239,0.0,0.0,0.0,0.0,200.0,200.0,19.916666666666668,2807808.981404355
240,0.0,0.0,0.0,0.0,200.0,200.0,20.0,2664091.828834752
241,0.0,0.0,0.0,200.0,200.0,200.0,20.083333333333332,2939381.4109587334
242,0.0,0.0,0.0,200.0,200.0,200.0,20.166666666666668,2872155.9790781927
243,0.0,0.0,0.0,200.0,200.0,200.0,20.25,2888621.5969219264
244,0.0,0.0,0.0,200.0,200.0,200.0,20.333333333333332,2867752.3580137864
245,0.0,0.0,0.0,200.0,200.0,200.0,20.416666666666668,2824415.545536549
246,0.0,0.0,0.0,200.0,200.0,200.0,20.5,2901505.51498821
247,0.0,0.0,0.0,200.0,200.0,200.0,20.583333333333332,2851168.1853154586
248,0.0,0.0,0.0,200.0,200.0,200.0,20.666666666666668,2873392.925567231
249,0.0,0.0,0.0,200.0,200.0,200.0,20.75,2891173.8217752413
250,0.0,0.0,0.0,200.0,200.0,200.0,20.833333333333332,2850498.5229229005
251,0.0,0.0,0.0,200.0,200.0,200.0,20.916666666666668,2883105.827253066
252,0.0,0.0,0.0,200.0,200.0,200.0,21.0,2906711.2990746046
253,0.0,0.0,0.0,200.0,200.0,200.0,21.083333333333332,2800716.205531801
254,0.0,0.0,0.0,200.0,200.0,200.0,21.166666666666668,2718799.0161757655
255,0.0,0.0,0.0,200.0,200.0,200.0,21.25,2762802.1821490387
256,0.0,0.0,0.0,200.0,200.0,200.0,21.333333333333332,2740460.4809838054
257,0.0,0.0,0.0,200.0,200.0,200.0,21.416666666666668,2787857.794187721
258,0.0,0.0,0.0,200.0,200.0,200.0,21.5,2734889.0094743553
259,0.0,0.0,0.0,200.0,200.0,200.0,21.583333333333332,2674778.0243009054
260,0.0,0.0,200.0,200.0,200.0,200.0,21.666666666666668,2859570.5920334356
261,0.0,0.0,200.0,200.0,200.0,200.0,21.75,2829397.587363946
262,0.0,0.0,200.0,200.0,200.0,200.0,21.833333333333332,2831629.9753748197
263,0.0,0.0,200.0,200.0,200.0,200.0,21.916666666666668,2837907.682034565
264,0.0,0.0,200.0,200.0,200.0,200.0,22.0,2823347.8203483885
265,0.0,0.0,200.0,200.0,200.0,200.0,22.083333333333332,2839559.6319289766
266,0.0,0.0,200.0,200.0,200.0,200.0,22.166666666666668,2787656.5145123536
267,0.0,0.0,200.0,200.0,200.0,200.0,22.25,2763883.0509692915
268,0.0,0.0,200.0,200.0,200.0,200.0,22.333333333333332,2753406.5233490206
269,0.0,0.0,200.0,200.0,200.0,200.0,22.416666666666668,2690107.652456636
270,0.0,200.0,200.0,200.0,200.0,200.0,22.5,2895507.6828928185
271,0.0,200.0,200.0,200.0,200.0,200.0,22.583333333333332,2875599.050315622
272,0.0,200.0,200.0,200.0,200.0,200.0,22.666666666666668,2908619.8744326886
273,0.0,200.0,200.0,200.0,200.0,200.0,22.75,2902475.560870546
274,0.0,200.0,200.0,200.0,200.0,200.0,22.833333333333332,2963080.784823343
275,0.0,200.0,200.0,200.0,200.0,200.0,22.916666666666668,2945957.6888992605
276,0.0,200.0,200.0,200.0,200.0,200.0,23.0,2943383.259047741
277,0.0,200.0,200.0,200.0,200.0,200.0,23.083333333333332,3021026.1530095683
278,0.0,200.0,200.0,200.0,200.0,200.0,23.166666666666668,3053237.4819307677
279,0.0,200.0,200.0,200.0,200.0,200.0,23.25,3045147.2070857733
280,0.0,200.0,200.0,200.0,200.0,200.0,23.333333333333332,2979453.4758257214
281,0.0,200.0,200.0,200.0,200.0,200.0,23.416666666666668,3099765.994185115
282,0.0,200.0,200.0,200.0,200.0,200.0,23.5,2973150.3837928437
283,0.0,200.0,200.0,200.0,200.0,200.0,23.583333333333332,3040968.670181318
284,0.0,200.0,200.0,200.0,200.0,200.0,23.666666666666668,2988106.8345587915
285,0.0,200.0,200.0,200.0,200.0,200.0,23.75,2937794.6290086866
286,0.0,200.0,200.0,200.0,200.0,200.0,23.833333333333332,2934073.311351736
287,0.0,200.0,200.0,200.0,200.0,200.0,23.916666666666668,2878029.63901029
