E_Type,TimeStamp,TimeInterval,Record,MarginalPrice,Power,PowerUncertainty,Cost,ReactivePower,ReactivePowerUncertainty,Voltage,VoltageUncertainty
42,2017-01-18 01:00:00,20170118T070000,1,18.728042716318246,7.4147066844862115,0,958.855227212058,0,0,0,0 
42,2017-01-18 01:00:00,20170118T070000,2,22.72804271631825,4.508245196889262,0,958.8552272120563,0,0,0,0 
42,2017-01-18 01:00:00,20170118T080000,0,21.032589620571695,4.405415466058857,0,0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T080000,1,19.03258962057169,9.311989186529406,0,4554.562329257257,0,0,0,0 
42,2017-01-18 01:00:00,20170118T080000,2,23.03258962057169,4.676608408898378,0,4554.562329257274,0,0,0,0 
42,2017-01-18 01:00:00,20170118T090000,0,21.021826801654584,4.376452117570668,0,0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T090000,1,19.021826801654584,10.195212600493885,0,4554.562329257265,0,0,0,0 
42,2017-01-18 01:00:00,20170118T090000,2,23.021826801654584,4.7554987716396635,0,4554.562329257265,0,0,0,0 
42,2017-01-18 01:00:00,20170118T100000,0,21.082342069317704,4.43785477627544,0,0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T100000,1,19.082342069317708,11.880780883183858,0,4554.562329257282,0,0,0,0 
42,2017-01-18 01:00:00,20170118T100000,2,23.08234206931771,4.720066660723223,0,4554.562329257257,0,0,0,0 
42,2017-01-18 01:00:00,20170118T110000,0,21.22376865544356,4.404921844805308,0,0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T110000,1,19.223768655443557,12.110262081604567,0,4554.562329257257,0,0,0,0 
42,2017-01-18 01:00:00,20170118T110000,2,23.223768655443557,4.818221509776646,0,4554.562329257274,0,0,0,0 
42,2017-01-18 01:00:00,20170118T120000,0,21.21168643999237,4.455902135510798,0,0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T120000,1,19.211686439992373,11.674590915993779,0,2397.1380680301318,0,0,0,0 
42,2017-01-18 01:00:00,20170118T120000,2,23.211686439992363,4.839272083777301,0,2397.1380680301363,0,0,0,0 
42,2017-01-18 01:00:00,20170118T130000,0,21.325878116844038,4.673206211456998,0,0,0,0,0,0 
